,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구주 은퇴여부,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,162490,0.0,162490.0,1,0,1,1,1,1,0,0,0
52,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0,31676,13000.0,18676.0,1,0,1,1,1,0,0,0,0
53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,5146,2050.0,3096.0,1,0,0,1,0,0,0,0,0
54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,16360,0.0,16360.0,0,0,0,1,0,1,0,0,0
55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,23045,2000.0,21045.0,1,0,0,1,1,0,0,1,0
56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,305000,20000.0,285000.0,0,1,1,0,1,0,0,0,0
57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,32400,0.0,32400.0,1,0,1,0,0,0,0,0,0
58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.0,0,0,896,356.0,540.0,1,0,0,0,0,1,0,0,0
59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,27084,0.0,27084.0,1,0,0,1,0,1,1,0,0
60,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,8020,0.0,8020.0,1,1,0,0,0,1,1,0,0
61,1,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0,0,0.0,0,0,24874,11300.0,13574.0,1,0,0,1,1,1,0,0,1
62,0,1.0,0,0.0,0,1.0,0,0.0,0,1.0,0,0,0,1.0,0,0,293524,106000.0,187524.0,1,0,1,1,0,1,0,0,0
63,0,0.0,0,1.0,0,1.0,0,0.0,0,0.0,0,1,0,1.0,0,0,26010,4000.0,22010.0,1,1,0,0,1,1,0,1,0
