,부채,금융부채,담보대출,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_부채상환,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출용도_기타 용도 등,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),담보대출_대출기관_보험회사,담보대출_대출기관_기타 기관 등,담보대출_상환방법_만기일시,담보대출_상환방법_원금 분할 상환,담보대출_상환방법_원리금 분할 상환,담보대출_상환방법_원리금 분할 및 일부만기 상환,담보대출_상환방법_기타 상환방법,담보대출_담보형태_거주 주택,담보대출_담보형태_거주 주택 이외 부동산,담보대출_담보형태_예적금 보험 펀드 채권 등,"담보대출_담보형태_기타(전세권, 자동차 등)",부동산 담보대출,부동산 이외 담보대출,신용대출,신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_부채상환,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출용도_기타 용도 등,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출기관_보험회사,신용대출_대출기관_기타 기관 등,신용대출_상환방법_만기일시,신용대출_상환방법_원금 분할 상환,신용대출_상환방법_원리금 분할 상환,신용대출_상환방법_원리금 분할 및 일부만기 상환,신용대출_상환방법_기타 상환방법,신용대출_대출종류_신용대출,신용대출_대출종류_마이너스통장,신용카드 관련 대출,외상 및 할부미상환액,곗탄후 불입금액,개인 직장에서 빌린 돈_2017년 부터,임대보증금,원리금상환액,원금상환액,이자지급액,순자산액,경상소득(보완),근로소득(보완),사업소득(보완),재산소득(보완),공적 이전소득(보완),사적 이전소득(조사),이전소득(보완)[공적 이전소득(보완)+사적 이전소득(조사)],처분가능소득(보완)[경상소득(보완)-비소비지출(보완)],소비지출,식료품(외식비포함),주거비,교육비(보육료포함),의료비,교통비,통신비,기타 소비지출,"지출(보완)[비소비지출(보완)+소비지출(조사)](2012~2018년: 복지, 2019년~:공통)",비소비지출(보완),세금(보완),공적연금·사회보험료(보완),가구간 이전지출(조사),비영리단체 이전지출(조사),연간지급이자(조사),여유자금 운용 계획,금융자산 투자 시 운용방법,금융자산 투자 시 고려사항,거주지 주택가격 전망,여유자금 부동산 투자 여부
7203,350.0,350.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,350,0.0,210,210,0,203.0,1732,1332,0,0,400,0,400,1614,2231,600,624,300,144,200,110,253,2349,118,7,111,0,0,0,부채 상환,은행 예금,안전성,변화 없을 것이다,예
7205,1080.0,1080.0,1000.0,1000,0.0,0,0,0.0,0,0.0,1000.0,0,0.0,0,0,0.0,0,0.0,1000.0,0,1000,0.0,0.0,0,1000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,80,0,0,0.0,1075,1000,75,61745.0,7607,7549,8,50,0,0,0,5866,4316,1400,120,840,600,300,324,732,6057,1741,298,918,420,30,75,저축과 금융자산 투자,은행 예금,안전성,하락할 것이다,아니오
7209,80.0,80.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,80,0,0,0.0,350,350,0,250.0,4410,4410,0,0,0,0,0,4186,2316,600,1000,0,50,120,96,450,2540,224,32,92,50,50,0,저축과 금융자산 투자,은행 예금,안전성,상승할 것이다,아니오
7210,250.0,250.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,250,0,0,0.0,200,200,0,73320.0,4987,1203,0,684,2980,120,3100,4657,2432,960,264,0,600,24,84,500,2762,330,104,106,100,20,0,부동산 구입,저축은행 예금,수익성,상승할 것이다,예
7211,37420.0,37170.0,6870.0,0,6870.0,0,0,0.0,0,0.0,6870.0,0,0.0,0,0,0.0,0,6870.0,0.0,0,6870,0.0,0.0,0,6870.0,0.0,10300.0,0,10300.0,0,0,0,0,0,10300.0,0,0,0,0,10300.0,0,0,0,0,10300.0,0,0,0,0,20000,250.0,655,130,525,45740.0,17514,16307,0,198,1009,0,1009,12426,3900,1500,300,0,100,500,100,1400,8988,5088,1984,849,1500,230,525,부채 상환,주식(직접투자),수익성,상승할 것이다,예
7212,360.0,360.0,140.0,0,0.0,0,0,0.0,140,0.0,0.0,0,0.0,140,0,0.0,0,0.0,140.0,0,0,0.0,140.0,0,0.0,140.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,220,0,0,0.0,710,660,50,31821.0,4648,4088,500,60,0,0,0,3803,2607,960,232,60,230,645,280,200,3452,845,47,338,300,110,50,저축과 금융자산 투자,비은행금융기관 예금,현금화 가능성,상승할 것이다,예
7214,4000.0,4000.0,4000.0,4000,0.0,0,0,0.0,0,0.0,4000.0,0,0.0,0,0,0.0,0,4000.0,0.0,0,4000,0.0,0.0,0,4000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,540,384,156,62600.0,11676,11089,118,189,240,40,280,9372,5220,1440,300,444,120,120,84,2712,7524,2304,713,1195,200,40,156,"내구재(자동차, 가구 등) 구입",저축은행 예금,안전성,하락할 것이다,예
7217,26100.0,21600.0,19000.0,0,15000.0,4000,0,0.0,0,0.0,19000.0,0,0.0,0,0,4000.0,15000,0.0,0.0,0,0,19000.0,0.0,0,19000.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,1600,1000,0,0,4500.0,12086,10740,1346,35276.0,6535,5622,33,705,75,100,175,4464,1950,600,240,0,60,360,240,450,4021,2071,109,286,100,230,1346,부채 상환,은행 예금,수익성,상승할 것이다,예
7221,7400.0,7400.0,7400.0,7400,0.0,0,0,0.0,0,0.0,0.0,7400,0.0,0,0,0.0,7400,0.0,0.0,0,7400,0.0,0.0,0,7400.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,724,460,264,62478.0,12463,11760,0,503,0,200,200,9397,3848,1500,400,0,100,500,150,1198,6914,3066,1410,892,400,100,264,저축과 금융자산 투자,수익증권(펀드 등 간접투자),수익성,상승할 것이다,예
7222,41544.0,39544.0,37044.0,7044,30000.0,0,0,0.0,0,0.0,37044.0,0,0.0,0,0,30000.0,0,7044.0,0.0,0,7044,30000.0,0.0,0,37044.0,0.0,2500.0,0,0.0,0,0,0,2500,0,2500.0,0,0,0,0,0.0,0,0,0,2500,0.0,2500,0,0,0,0,2000.0,3974,2850,1124,136056.0,14838,14064,0,774,0,0,0,10518,7640,1200,420,2000,700,800,120,2400,11960,4320,1133,1613,350,100,1124,부채 상환,은행 예금,수익성,하락할 것이다,아니오
