,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),자산,부채,순자산액,가구원수,가구주 만나이,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,가구주 은퇴여부,입주형태,수도권여부,가구주 직업(대분류),가구주 종사상지위,부실가계
52,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,16556,0.0,16556,2,24,1,1,0,1,0,1,0,1,0
53,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,138850,9050.0,129800,3,44,0,1,1,1,1,1,0,1,0
54,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,1,0,1,0,20280,1100.0,19180,2,36,0,1,1,1,1,0,0,1,0
55,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,3984,2550.0,1434,4,44,0,0,1,1,0,0,0,1,0
56,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,16300,0.0,16300,2,74,0,0,1,1,0,1,0,0,0
57,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,27353,2000.0,25353,4,57,0,0,1,1,1,0,0,0,0
58,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,310000,0.0,310000,1,68,1,1,0,0,1,0,0,0,0
59,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,17768,0.0,17768,2,50,0,1,0,1,0,0,0,1,0
60,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,251,200.0,51,1,49,0,0,0,1,0,1,0,0,0
61,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,24400,0.0,24400,4,61,0,0,1,1,0,1,1,0,0
