,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_부채상환,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출용도_기타 용도 등,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),담보대출_대출기관_보험회사,담보대출_대출기관_기타 기관 등,신용대출,신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_부채상환,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출용도_기타 용도 등,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출기관_보험회사,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,입주형태,수도권여부,가구주 직업(대분류),부실가구
9673,0.0,0.0,0.0,0.0,0.0031266666666666665,0.0,0.0,0.0016850803916284918,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0035714285714285718,0.0,0.001,0.0,0.0,0.0,0,1,1,1,0,0,0
9674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.03142857142857143,0.0,0.0088,0.0,0.0,0.0,0,0,1,1,0,0,0
9675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
9676,0.05460714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026591304347826084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
9677,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0
9678,0.016071428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0032336297493936943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
9679,0.0,0.0,0.0,0.0,0.12333333333333334,0.0,0.0,0.0,0.0,0.11739130434782608,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
9680,0.0,0.0,0.06923076923076923,0.0,0.054266666666666664,0.0,0.0,0.0064672594987873885,0.0,0.07078260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
9681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
9682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05500000000000001,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.09353287012292892,0.0,0.2058823529411765,0.0,0.0,0,0,0,0,0,0,0
9683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,1,0,0,1,0,0,0
9684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05160000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.13789417423837522,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
9685,0.0,0.0,0.0,0.0,0.004666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.043347679351023315,0.05,0.0,0.0,0.0,0.0,0.06578947368421054,0.0,0.0,0.0,0.0,0.1,0.0,0,0,0,1,0,0,1
9686,0.0,0.0,0.0,0.0,0.12666666666666668,0.0,0.0,0.0,0.0,0.16521739130434782,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.05921052631578948,0.08928571428571429,0.0,0.05,0.0,0.04,0.0,0,1,1,1,0,0,1
9687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.774986638161411,0.29000000000000004,0.0,0.0,0.0,0,1,1,1,0,0,0
9688,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000001,0.0053893829156561575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
9689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.026315789473684213,0.0,0.0,0.0,0.0,0.04,0.0,1,0,0,0,0,0,0
9690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.013361838588989846,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
9691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.017105263157894738,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0,0,1,0,0,0,0
9692,0.0,0.0053893829156561575,0.0,0.0,0.0,0.0,0.0,0.0053893829156561575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
9693,0.0,0.21108416419653284,0.0,0.0,0.0,0.0,0.0,0.0,0.40940766550522645,0.0,0.0,0.0,0.08700000000000001,0.0,0.08700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.511764705882353,0.0,0.0,0,1,0,0,0,0,0
9694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011170000000000001,0.0,0.0,0.0,0.0,0.0,0.03989285714285715,0.0,0.0,0.0,0.0,0.036680000000000004,0,0,1,0,0,0,0
9695,0.0,0.35929219437707716,0.0,0.0,0.0,0.0,0.0,0.35929219437707716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
9696,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.008982304859426929,0.0,0.0,0.0,0.0,0.12000000000000001,0.0,0.0,0.14583333333333331,0.0,0.0,0.17857142857142858,0.0,0.12000000000000001,0.0,0.0,0.0,0,1,1,1,0,0,0
9697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0
9698,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0053893829156561575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
9699,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.012575226803197701,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.012,0.0,0.0,0.0,0,1,1,1,0,0,0
9700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0,0.006,0.0,0.0,0.0,1,1,0,0,0,1,0
9701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.0,0.0,0.0,0.0,0.026315789473684213,0.03571428571428572,0.0,0.0,0.0,0.060000000000000005,0.0,0,0,0,0,0,0,0
9702,0.0,0.0,0.0,0.0,0.0,0.004285714285714286,0.0,0.0,0.0,0.0006521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
9703,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.008982304859426929,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.023076923076923078,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0,1,1,1,0,0,0
9704,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0053893829156561575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
9705,0.06430357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.012938111919518549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
9706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0
9707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09300000000000001,0.0,0.0,0.0,0.0,0.08552631578947369,0.1,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1
9708,0.0,0.0,0.0,0.0,0.011333333333333334,0.0,0.0,0.006107967304410312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
9709,0.0,0.0,0.09923076923076923,0.0,0.0,0.0,0.0,0.00926973861492859,0.0,0.0,0.0,0.0,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.03928571428571429,0.0,0.011000000000000001,0.0,0.0,0.0,0,0,1,0,0,1,0
9710,0.08035714285714286,0.0,0.0,0.0,0.007266666666666667,0.0,0.0,0.02008443366567861,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.008815789473684211,0.0,0.0,0.0067,0.0,0.0,0.0,0,0,1,1,0,0,0
